Date,Open,High,Low,Close,Adj Close,Volume
10/7/1996,3.52,3.55,3.35,3.45,2.799068,1285000
10/8/1996,3.305,3.475,3.305,3.405,2.762558,785000
10/9/1996,3.57,3.57,3.365,3.455,2.803124,664000
10/10/1996,3.485,3.525,3.45,3.505,2.843691,397000
10/11/1996,3.545,3.6,3.48,3.5,2.839634,210000
10/14/1996,3.5,3.5,3.43,3.445,2.795012,249000
10/15/1996,3.42,3.585,3.4,3.53,2.863973,603000
10/16/1996,3.4,3.59,3.4,3.5,2.839634,300000
10/17/1996,3.475,3.525,3.47,3.515,2.851804,303000
10/18/1996,3.525,3.585,3.5,3.55,2.880201,1006000
10/21/1996,3.55,3.55,3.55,3.55,2.880201,0
10/22/1996,3.745,3.795,3.65,3.74,3.034352,859000
10/23/1996,3.89,4,3.81,3.925,3.184447,1084000
10/24/1996,3.9,3.94,3.665,3.7,3.001899,821000
10/25/1996,3.68,3.77,3.665,3.76,3.050578,297000
10/28/1996,3.76,3.825,3.75,3.805,3.087088,613000
10/29/1996,3.77,3.87,3.77,3.83,3.107371,778000
10/30/1996,3.83,3.83,3.83,3.83,3.107371,0
10/31/1996,3.825,3.9,3.685,3.77,3.058691,731000
11/1/1996,3.75,3.84,3.75,3.815,3.095201,622000
11/4/1996,3.705,3.85,3.705,3.835,3.111428,694000
11/5/1996,3.82,3.85,3.775,3.815,3.095201,571000
11/6/1996,3.795,3.825,3.72,3.815,3.095201,597000
11/7/1996,3.79,3.825,3.79,3.8,3.083031,389000
11/8/1996,3.81,3.84,3.8,3.815,3.095201,244000
11/11/1996,3.87,3.975,3.85,3.96,3.212843,447000
11/12/1996,3.96,3.96,3.96,3.96,3.212843,0
11/13/1996,3.925,4,3.9,3.93,3.188504,556000
11/14/1996,3.94,3.955,3.88,3.9,3.164164,358000
11/15/1996,3.88,3.925,3.865,3.895,3.160108,222000
11/18/1996,3.9,3.925,3.86,3.88,3.147937,386000
11/19/1996,3.885,3.9,3.8,3.825,3.103315,532000
11/20/1996,3.79,3.825,3.775,3.805,3.087088,379000
11/21/1996,3.85,3.85,3.79,3.805,3.087088,377000
11/22/1996,3.82,3.82,3.795,3.805,3.087088,340000
11/25/1996,3.795,3.88,3.605,3.805,3.087088,1061000
11/26/1996,3.79,3.825,3.775,3.805,3.087088,406000
11/27/1996,3.8,3.8,3.715,3.78,3.066805,149000
11/28/1996,3.755,3.815,3.745,3.805,3.087088,313000
11/29/1996,3.9,3.9,3.78,3.8,3.083031,144000
12/2/1996,3.8,3.81,3.765,3.8,3.083031,248000
12/3/1996,3.73,3.815,3.73,3.81,3.091144,580000
12/4/1996,3.705,3.745,3.685,3.715,3.014069,355000
12/5/1996,3.7,3.775,3.7,3.74,3.034352,247000
12/6/1996,3.75,3.79,3.72,3.73,3.026239,155000
12/9/1996,3.74,3.775,3.705,3.725,3.022182,173000
12/10/1996,3.705,3.755,3.7,3.735,3.030295,385000
12/11/1996,3.75,3.8,3.74,3.79,3.074918,381000
12/12/1996,3.825,3.83,3.73,3.775,3.062749,413000
12/13/1996,3.73,3.79,3.725,3.75,3.042465,230000
12/16/1996,3.825,3.84,3.755,3.815,3.095201,526000
12/17/1996,3.805,3.9,3.785,3.885,3.151994,636000
12/18/1996,3.95,3.95,3.83,3.85,3.123597,318000
12/19/1996,3.85,3.895,3.8,3.825,3.103315,246000
12/20/1996,3.805,3.895,3.805,3.885,3.151994,244000
12/23/1996,3.9,3.93,3.85,3.92,3.18039,423000
12/24/1996,3.925,3.995,3.865,3.955,3.208786,596000
12/25/1996,3.955,3.955,3.955,3.955,3.208786,0
12/26/1996,4,4.18,3.975,4.095,3.322372,574000
12/27/1996,4.095,4.095,4.095,4.095,3.322372,0
12/30/1996,4.095,4.095,4.095,4.095,3.322372,0
12/31/1996,4.1,4.195,3.9,3.92,3.18039,893000
1/1/1997,4.14,4.195,4.05,4.195,3.403505,892000
1/2/1997,4.25,4.295,4.105,4.125,3.346712,996000
1/3/1997,4.145,4.195,4.1,4.15,3.366995,496000
1/6/1997,4.2,4.275,4.14,4.155,3.371052,612000
1/7/1997,4.125,4.235,4.125,4.21,3.415674,964000
1/8/1997,4.25,4.375,4.25,4.33,3.513033,960000
1/9/1997,4.3,4.395,4.3,4.36,3.537373,900000
1/10/1997,4.45,4.665,4.45,4.665,3.784827,1495000
1/13/1997,4.855,4.855,4.55,4.615,3.744261,1490000
1/14/1997,4.615,4.695,4.525,4.605,3.736146,1658000
1/15/1997,4.65,4.93,4.65,4.93,3.999827,3326000
1/16/1997,5.1,5.275,4.585,4.625,3.752373,3445000
1/17/1997,4.375,4.825,4.375,4.62,3.748317,2193000
1/20/1997,4.57,4.6,4.415,4.44,3.602279,1152000
1/21/1997,4.44,4.44,4.225,4.295,3.484637,2153000
1/22/1997,4.5,4.57,4.35,4.545,3.687468,1472000
1/23/1997,4.545,4.545,4.545,4.545,3.687468,0
1/24/1997,4.545,4.56,4.495,4.545,3.687468,915000
1/27/1997,4.55,4.71,4.55,4.69,3.80511,2722000
1/28/1997,4.69,4.9,4.65,4.87,3.951148,2600000
1/29/1997,5.1,5.1,4.67,4.705,3.817281,2714000
1/30/1997,4.705,4.75,4.61,4.72,3.829449,1441000
1/31/1997,5,5,4.5,4.605,3.736146,1780000
2/3/1997,4.515,4.525,4.41,4.465,3.622562,1829000
2/4/1997,4.43,4.635,4.43,4.56,3.699637,3357000
2/5/1997,4.74,4.75,4.59,4.6,3.732091,1191000
2/6/1997,4.6,4.64,4.56,4.62,3.748317,589000
2/7/1997,4.59,4.635,4.58,4.6,3.732091,649000
2/10/1997,4.575,4.64,4.575,4.615,3.744261,689000
2/11/1997,4.6,4.725,4.6,4.665,3.784827,1291000
2/12/1997,4.7,4.745,4.65,4.73,3.837564,1218000
2/13/1997,4.7,4.735,4.675,4.685,3.801052,685000
2/14/1997,4.7,4.715,4.675,4.69,3.80511,697000
2/17/1997,4.75,4.755,4.68,4.715,3.825392,713000
2/18/1997,4.69,4.715,4.625,4.645,3.768599,1045000
2/19/1997,4.665,4.7,4.65,4.695,3.809166,689000
2/20/1997,4.69,4.69,4.6,4.605,3.736146,739000
2/21/1997,4.595,4.645,4.4,4.565,3.703693,819000
2/24/1997,4.515,4.59,4.415,4.46,3.618505,757000
2/25/1997,4.41,4.49,4.38,4.45,3.610392,930000
2/26/1997,4.415,4.52,4.415,4.505,3.655014,580000
2/27/1997,4.51,4.7,4.51,4.68,3.796997,1051000
2/28/1997,4.9,4.955,4.7,4.845,3.930865,1567000
3/3/1997,5.225,5.55,5.185,5.305,4.304074,5822000
3/4/1997,5.31,5.375,5.2,5.31,4.30813,3289000
3/5/1997,5.5,5.68,5.45,5.5,4.462282,5501000
3/6/1997,5.4,5.49,5.31,5.46,4.42983,2469000
3/7/1997,5.46,5.46,5.46,5.46,4.42983,0
3/10/1997,5.36,5.425,5.115,5.165,4.190489,4684000
3/11/1997,5.15,5.3,5.01,5.065,4.109356,3349000
3/12/1997,5.29,5.325,5.18,5.275,4.279734,2118000
3/13/1997,5.29,5.325,5.13,5.175,4.198602,952000
3/14/1997,5.125,5.2,5.07,5.165,4.190489,1256000
3/17/1997,5.155,5.19,5.11,5.145,4.174262,996000
3/18/1997,5.15,5.155,5.015,5.055,4.101243,1791000
3/19/1997,5.13,5.165,4.94,4.96,4.024167,919000
3/20/1997,4.91,4.995,4.875,4.94,4.007941,696000
3/21/1997,4.995,5.03,4.905,4.93,3.999827,632000
3/24/1997,4.93,4.93,4.93,4.93,3.999827,0
3/25/1997,4.915,4.97,4.825,4.86,3.943035,1130000
3/26/1997,4.95,5,4.875,4.99,4.048507,727000
3/27/1997,4.99,5.025,4.92,5,4.056619,605000
3/28/1997,5,5,5,5,4.056619,0
3/31/1997,4.65,4.725,4.5,4.52,3.667184,1259000
4/1/1997,4.5,4.67,4.35,4.645,3.768599,1370000
4/2/1997,4.735,4.925,4.735,4.895,3.971431,899000
4/3/1997,4.91,5.05,4.9,5.035,4.085016,1245000
4/4/1997,5,5.025,4.95,5,4.056619,1721000
4/7/1997,4.975,5.1,4.96,5.03,4.080961,1922000
4/8/1997,5.03,5.03,5.03,5.03,4.080961,0
4/9/1997,5.15,5.25,5.11,5.22,4.235111,1411000
4/10/1997,5.15,5.165,4.985,5.065,4.109356,1469000
4/11/1997,5.01,5.225,4.91,5.19,4.210772,2478000
4/14/1997,5.19,5.19,5.19,5.19,4.210772,0
4/15/1997,5.17,5.215,5.1,5.185,4.206716,1485000
4/16/1997,5.185,5.185,5.185,5.185,4.206716,0
4/17/1997,5.265,5.55,5.265,5.485,4.450112,5272000
4/18/1997,5.485,5.485,5.485,5.485,4.450112,0
4/21/1997,5.8,5.8,5.605,5.74,4.657,3718000
4/22/1997,5.81,5.85,5.675,5.78,4.689453,3368000
4/23/1997,5.825,5.825,5.7,5.71,4.63266,2521000
4/24/1997,5.74,5.845,5.68,5.7,4.624547,2240000
4/25/1997,5.675,5.685,5.625,5.67,4.600207,1157000
4/28/1997,5.67,5.745,5.6,5.705,4.628603,2217000
4/29/1997,5.675,5.725,5.665,5.71,4.63266,2392000
4/30/1997,6.005,6.025,5.755,5.82,4.721908,4123000
5/1/1997,5.82,5.82,5.82,5.82,4.721908,0
5/2/1997,5.825,5.825,5.7,5.8,4.705678,2363000
5/5/1997,5.75,5.805,5.73,5.795,4.701623,1971000
5/6/1997,5.775,5.83,5.75,5.8,4.705678,2583000
